item_id,order_id,product_id,quantity,unit_price,discount_percent
1,719,70,4,231.92,24.8
2,617,91,5,698.2,27.1
3,992,15,5,656.75,97.9
4,452,85,3,450.56,74.1
5,883,47,1,178.49,19.2
6,561,113,5,809.8,28.7
7,1080,23,3,799.76,12.5
8,566,40,5,470.47,18.4
9,888,102,3,263.13,15.0
10,302,60,5,870.17,19.9
11,622,63,3,18.96,28.3
12,253,7,1,390.14,0.0
13,515,18,3,707.81,28.8
14,1149,20,3,132.67,13.0
15,166,38,4,839.98,67.9
16,792,55,1,804.27,17.9
17,355,73,3,724.92,76.8
18,513,18,2,274.45,56.7
19,945,70,4,90.96,20.8
20,1032,120,3,424.2,12.6
21,841,60,-3,28.65,2.7
22,288,79,2,524.39,18.6
23,1159,113,4,117.71,13.9
24,1061,59,1,53.95,19.5
25,683,77,3,511.07,25.9
26,249,95,5,666.73,20.5
27,296,72,4,127.08,19.2
28,317,39,1,726.03,6.0
29,138,1,1,470.24,10.4
30,51,107,4,54.81,40.5
31,377,105,5,237.94,13.2
32,253,56,1,170.4,19.7
33,350,66,5,184.31,8.7
34,205,76,3,355.11,3.2
35,854,105,1,258.66,38.9
36,1189,39,5,402.81,10.6
37,286,60,4,252.83,10.7
38,1031,27,5,354.61,65.6
39,721,84,3,416.24,4.2
40,621,119,4,341.99,19.8
41,1180,91,5,237.01,17.7
42,1190,45,4,65.48,73.3
43,475,13,4,841.14,22.8
44,485,14,2,656.71,29.2
45,132,8,1,38.49,13.2
46,767,78,1,831.58,21.0
47,774,18,5,503.04,49.1
48,586,29,2,393.49,23.7
49,177,75,-3,91.1,14.1
50,11,47,5,494.19,18.5
51,1082,64,2,515.48,10.6
52,1145,110,1,397.8,26.2
53,1166,11,5,271.91,23.1
54,1108,43,-2,830.43,70.3
55,140,112,3,71.93,25.6
56,1025,40,1,493.62,17.5
57,539,84,-2,382.16,88.8
58,122,18,3,832.14,26.3
59,483,64,5,814.37,23.0
60,73,45,4,540.34,2.4
61,1130,62,3,652.38,49.7
62,462,84,4,276.56,29.1
63,44,120,2,483.1,20.5
64,38,71,4,690.28,12.9
65,875,71,4,110.6,27.1
66,721,25,1,218.16,1.0
67,846,96,5,513.4,0.4
68,512,105,1,118.41,4.4
69,717,78,2,898.29,39.8
70,251,85,3,844.84,70.5
71,732,115,2,401.97,11.0
72,1130,38,2,476.53,69.8
73,1032,14,4,636.42,8.4
74,417,117,5,211.33,6.3
75,763,93,2,37.1,44.0
76,930,15,-1,246.92,9.0
77,174,8,5,348.62,38.3
78,910,6,4,170.06,1.6
79,625,5,3,843.82,22.6
80,689,119,3,730.17,22.7
81,699,93,4,779.84,27.9
82,117,104,4,857.46,8.6
83,1096,60,5,693.27,96.0
84,958,96,2,123.03,80.0
85,562,11,5,269.76,1.2
86,562,47,3,705.27,18.2
87,255,40,3,753.22,13.3
88,36,57,-1,869.47,25.3
89,447,53,1,252.42,9.4
90,132,57,3,237.29,6.8
91,358,19,1,213.24,5.5
92,1038,111,3,42.55,1.8
93,531,33,-2,488.7,23.5
94,224,10,1,462.38,32.6
95,761,107,4,68.9,8.5
96,51,42,3,304.81,19.6
97,964,38,2,334.63,15.0
98,53,14,3,462.16,15.2
99,1191,92,2,344.06,19.7
