product_id,product_name,category,subcategory,cost_price
1,Smartwatch Model 5,Electronics,Electronics - Smartwatch,638.77
2,Laptop Model 18,Electronics,Electronics - Laptop,626.62
3,Headphones Model 16,Electronics,Electronics - Headphones,730.58
4,tablet model 11,Electronics,Electronics - Tablet,258.51
5,Laptop Model 1,Electronics,Electronics - Laptop,51.58
6,Smartwatch Model 17,Electronics,Electronics - Smartwatch,190.05
7,  LAPTOP MODEL 4  ,Electronics,Electronics - Laptop,196.72
8,Tablet Model 2,Electronics,Electronics - Tablet,462.68
9,Camera Model 13,Electronics,Electronics - Camera,676.95
10,Laptop Model 8,Electronics,Electronics - Laptop,559.61
11,Tablet Model 1,Electronics,Electronics - Tablet,456.28
12,Laptop Model 19,Electronics,Electronics - Laptop,649.27
13,Smartwatch Model 18,Electronics,Electronics - Smartwatch,76.75
14,  LAPTOP MODEL 20  ,Electronics,Electronics - Laptop,423.53
15,smartphone model 11,Electronics,Electronics - Smartphone,108.74
16,Speaker Model 6,Electronics,Electronics - Speaker,262.25
17,Smartphone Model 5,Electronics,Electronics - Smartphone,620.62
18,Camera Model 17,Electronics,Electronics - Camera,302.0
19,Speaker Model 13,Electronics,Electronics - Speaker,261.47
20,Laptop Model 14,Electronics,Electronics - Laptop,521.1
21,Laptop Model 18,Electronics,Electronics - Laptop,630.66
22,Laptop Model 19,Electronics,Electronics - Laptop,588.53
23,  HEADPHONES MODEL 5  ,Electronics,Electronics - Headphones,6.43
24,Speaker Model 19,Electronics,Electronics - Speaker,772.32
25,Smartphone Model 6,Electronics,Electronics - Smartphone,774.19
26,  LAPTOP MODEL 19  ,Electronics,Electronics - Laptop,399.47
27,  HEADPHONES MODEL 3  ,Electronics,Electronics - Headphones,785.99
28,Laptop Model 3,Electronics,Electronics - Laptop,584.78
29,  HEADPHONES MODEL 15  ,Electronics,Electronics - Headphones,171.7
30,Speaker Model 3,Electronics,Electronics - Speaker,577.73
31,T-Shirt Model 13,Clothing,Clothing - T-Shirt,137.24
32,Dress Model 16,Clothing,Clothing - Dress,303.4
33,Cap Model 16,Clothing,Clothing - Cap,607.8
34,Jeans Model 6,Clothing,Clothing - Jeans,31.56
35,t-shirt model 11,Clothing,Clothing - T-Shirt,276.74
36,Dress Model 6,Clothing,Clothing - Dress,719.01
37,T-Shirt Model 11,Clothing,Clothing - T-Shirt,388.78
38,t-shirt model 14,Clothing,Clothing - T-Shirt,712.35
39,  JEANS MODEL 2  ,Clothing,Clothing - Jeans,168.41
40,Jeans Model 14,Clothing,Clothing - Jeans,585.33
41,jacket model 10,Clothing,Clothing - Jacket,317.36
42,  SWEATER MODEL 16  ,Clothing,Clothing - Sweater,291.86
43,Dress Model 3,Clothing,Clothing - Dress,482.17
44,  JEANS MODEL 4  ,Clothing,Clothing - Jeans,140.81
45,jacket model 3,Clothing,Clothing - Jacket,628.98
46,Dress Model 16,Clothing,Clothing - Dress,515.28
47,Dress Model 6,Clothing,Clothing - Dress,153.33
48,T-Shirt Model 9,Clothing,Clothing - T-Shirt,670.48
49,  SWEATER MODEL 2  ,Clothing,Clothing - Sweater,558.69
50,T-Shirt Model 3,Clothing,Clothing - T-Shirt,334.12
51,  CAP MODEL 19  ,Clothing,Clothing - Cap,53.48
52,Dress Model 17,Clothing,Clothing - Dress,694.18
53,Dress Model 19,Clothing,Clothing - Dress,67.77
54,Cap Model 2,Clothing,Clothing - Cap,641.36
55,  SHOES MODEL 20  ,Clothing,Clothing - Shoes,759.66
56,dress model 6,Clothing,Clothing - Dress,173.45
57,  JEANS MODEL 5  ,Clothing,Clothing - Jeans,67.3
58,  SHOES MODEL 14  ,Clothing,Clothing - Shoes,658.94
59,Jeans Model 20,Clothing,Clothing - Jeans,731.77
60,T-Shirt Model 3,Clothing,Clothing - T-Shirt,264.27
61,Lamp Model 17,Home,Home - Lamp,630.31
62,Bedsheet Model 19,Home,Home - Bedsheet,334.48
63,Vacuum Cleaner Model 19,Home,Home - Vacuum Cleaner,752.02
64,Blender Model 19,Home,Home - Blender,694.64
65,Lamp Model 14,Home,Home - Lamp,459.76
66,  COOKWARE SET MODEL 2  ,Home,Home - Cookware Set,325.36
67,Bedsheet Model 20,Home,Home - Bedsheet,319.66
68,  LAMP MODEL 8  ,Home,Home - Lamp,382.8
69,  LAMP MODEL 12  ,Home,Home - Lamp,654.82
70,Lamp Model 10,Home,Home - Lamp,558.47
71,  BLENDER MODEL 8  ,Home,Home - Blender,779.5
72,Cookware Set Model 11,Home,Home - Cookware Set,518.22
73,  VACUUM CLEANER MODEL 15  ,Home,Home - Vacuum Cleaner,660.06
74,Curtains Model 16,Home,Home - Curtains,657.71
75,  BEDSHEET MODEL 6  ,Home,Home - Bedsheet,569.11
76,Cookware Set Model 5,Home,Home - Cookware Set,457.09
77,vacuum cleaner model 7,Home,Home - Vacuum Cleaner,50.81
78,  BLENDER MODEL 15  ,Home,Home - Blender,291.5
79,Vacuum Cleaner Model 9,Home,Home - Vacuum Cleaner,320.57
80,  BLENDER MODEL 1  ,Home,Home - Blender,393.59
81,Cookware Set Model 6,Home,Home - Cookware Set,443.31
82,Lamp Model 6,Home,Home - Lamp,665.54
83,  BLENDER MODEL 10  ,Home,Home - Blender,44.47
